essai,temps,vitesse_mm_s,wrench_N
1,1.1668,161.65,50
1,1.1688,159.81,50
1,1.1708,160.7,50
1,1.1729,158.52,50
1,1.1749,158.54,50
1,1.1769,156.69,50
1,1.1789,156.37,50
1,1.1809,153.51,50
1,1.183,153.66,50
1,1.185,151.15,50
1,1.187,151.69,50
1,1.189,150.0,50
1,1.1911,150.01,50
1,1.1931,147.93,50
1,1.1951,148.03,50
1,1.1971,145.6,50
1,1.1991,144.2,50
1,1.2012,141.92,50
1,1.2033,142.67,50
1,1.2054,142.52,50
1,1.2074,142.52,50
1,1.2095,143.83,50
1,1.2116,143.2,50
1,1.2136,144.57,50
1,1.2156,145.12,50
1,1.2176,144.75,50
1,1.2196,144.03,50
1,1.2217,145.55,50
1,1.2237,142.82,50
1,1.2257,139.47,50
1,1.2277,142.57,50
1,1.2298,138.28,50
1,1.2318,138.71,50
1,1.2338,140.67,50
1,1.2358,138.03,50
1,1.2378,139.34,50
1,1.2399,138.12,50
1,1.2419,137.52,50
1,1.2439,136.24,50
1,1.2459,138.7,50
1,1.2479,137.28,50
1,1.25,137.66,50
1,1.252,136.88,50
1,1.254,136.83,50
1,1.256,136.09,50
1,1.2581,136.39,50
1,1.2601,136.66,50
1,1.2621,139.13,50
1,1.2642,137.51,50
1,1.2662,135.59,50
1,1.2682,136.13,50
1,1.2702,137.69,50
1,1.2723,133.53,50
1,1.2743,136.22,50
1,1.2764,134.18,50
1,1.2785,135.36,50
1,1.2806,131.99,50
1,1.2826,137.73,50
1,1.2847,134.31,50
1,1.2867,130.66,50
2,0.7328,0.0,100
2,0.7349,0.0,100
2,0.737,0.03,100
2,0.7391,85.99,100
2,0.7412,94.35,100
2,0.7432,90.67,100
2,0.7453,98.17,100
2,0.7473,99.53,100
2,0.7494,98.46,100
2,0.7514,99.98,100
2,0.7534,102.25,100
2,0.7555,106.25,100
2,0.7575,112.08,100
2,0.7595,116.43,100
2,0.7616,122.77,100
2,0.7636,129.45,100
2,0.7657,136.95,100
2,0.7677,147.08,100
2,0.7697,156.14,100
2,0.7717,165.96,100
2,0.7738,174.99,100
2,0.7758,185.68,100
2,0.7778,198.08,100
2,0.7798,202.84,100
2,0.7818,208.61,100
2,0.7839,218.73,100
2,0.7859,222.28,100
2,0.7879,225.38,100
2,0.7899,225.61,100
2,0.7919,222.21,100
2,0.7939,224.37,100
2,0.796,227.04,100
2,0.798,229.79,100
2,0.8,231.62,100
2,0.802,234.86,100
2,0.804,237.85,100
2,0.8061,240.38,100
2,0.8081,243.07,100
2,0.8101,245.95,100
2,0.8121,248.26,100
2,0.8142,248.63,100
2,0.8162,249.29,100
2,0.8182,251.05,100
2,0.8202,254.04,100
2,0.8222,253.79,100
2,0.8243,247.71,100
2,0.8263,245.68,100
2,0.8284,246.74,100
2,0.8306,243.18,100
2,0.8326,251.44,100
2,0.8347,251.29,100
2,0.8368,257.31,100
2,0.8388,256.62,100
2,0.8409,262.19,100
2,0.843,266.12,100
2,0.845,268.67,100
2,0.847,271.95,100
2,0.8491,274.55,100
2,0.8511,275.47,100
2,0.8532,274.42,100
2,0.8553,278.02,100
2,0.8573,281.71,100
2,0.8594,273.92,100
2,0.8614,281.68,100
2,0.8634,280.17,100
2,0.8655,278.46,100
2,0.8675,279.82,100
2,0.8696,277.45,100
2,0.8716,277.05,100
2,0.8737,281.27,100
2,0.8758,280.61,100
2,0.8779,277.76,100
2,0.8799,277.82,100
2,0.882,271.41,100
2,0.884,276.27,100
2,0.886,272.24,100
2,0.8881,263.51,100
2,0.8901,268.2,100
2,0.8922,264.58,100
